COL_CD,VAL_CD,TABLE,COLUMN,COLUMN_TYPE,OPRT,VAL,GRP,ACTIVE_FLAG
1,1,MDM_LOAN,INVESTOR_FULL_NAME,C,=,FANNIE MAE,FN,Y
1,2,MDM_LOAN,INVESTOR_FULL_NAME,C,=,PRIVATE,PR,Y
1,3,MDM_LOAN,INVESTOR_FULL_NAME,C,=,FREDDIE MAC,FH,Y
1,4,MDM_LOAN,INVESTOR_FULL_NAME,C,=,GINNIE MAE,GN,Y
1,5,MDM_LOAN,INVESTOR_FULL_NAME,C,=,U,PR,Y
2,1,MDM_LOAN,RATE_TYPE,C,=,A,ARM,Y
2,2,MDM_LOAN,RATE_TYPE,C,=,F,FXD,Y
2,3,MDM_LOAN,RATE_TYPE,C,=,B,FXD,Y
3,1,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,010,SFH,Y
3,2,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,011,SFH,Y
3,3,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,016,CND,Y
3,4,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,018,OTH,Y
3,5,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,031,OTH,Y
3,6,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,045,OTH,Y
3,7,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,081,OTH,Y
3,8,MDM_LOAN,PROPERTY_TYPE_CODE,C,=,U,OTH,Y
4,1,MDM_LOAN,CURRENT_OCCUPANCY_CODE,C,=,1,OO,Y
4,2,MDM_LOAN,CURRENT_OCCUPANCY_CODE,C,=,2,NO,Y
4,3,MDM_LOAN,CURRENT_OCCUPANCY_CODE,C,=,3,NO,Y
5,1,MDM_LOAN,MOD_STATUS,C,=,A,MOD,Y
5,2,MDM_LOAN,MOD_STATUS,C,=,E,MOD,Y
5,3,MDM_LOAN,MOD_STATUS,C,=,H,MOD,Y
5,4,MDM_LOAN,MOD_STATUS,C,=,N,MDN,Y
5,5,MDM_LOAN,MOD_STATUS,C,=,P,MOD,Y
5,6,MDM_LOAN,MOD_STATUS,C,=,T,MOD,Y
5,7,MDM_LOAN,MOD_STATUS,C,=,W,MOD,Y
5,8,MDM_LOAN,MOD_STATUS,C,=,Y,MOD,Y
6,1,MDM_LOAN,BANKRUPTCY_CODE,C,=,A,BKA,Y
6,2,MDM_LOAN,BANKRUPTCY_CODE,C,=,C,BKN,Y
6,3,MDM_LOAN,BANKRUPTCY_CODE,C,=,N,BKC,Y
7,1,GTM,DELINQUENCY_COUNT,N,<=,1,CUR,Y
7,2,GTM,DELINQUENCY_COUNT,N,<=,3,LDQ,Y
7,3,GTM,DELINQUENCY_COUNT,N,>,3,HDQ,Y
8,1,GTM,UNPAID_BALANCE,N,<=,20000,UPB20K,Y
8,2,GTM,UNPAID_BALANCE,N,<=,50000,UPB20-50K,Y
8,3,GTM,UNPAID_BALANCE,N,<=,100000,UPB50-100K,Y
8,4,GTM,UNPAID_BALANCE,N,<=,150000,UPB100-150K,Y
8,5,GTM,UNPAID_BALANCE,N,<=,200000,UPB150-200K,Y
8,6,GTM,UNPAID_BALANCE,N,>,200000,UPB200K,Y
